user_id,order_id,skill,correct,ms_first_response,hint_count,attempt_count
53167,32517498,Division Fractions,0,81429,0,2
53167,32517627,Division Fractions,1,23471,0,1
53167,32517648,Division Fractions,1,22610,0,1
53167,32517672,Division Fractions,1,26092,0,1
64525,28177811,Division Fractions,1,53014,0,1
64525,32283155,Division Fractions,1,24453,0,1
70676,32632010,Division Fractions,1,19703,0,1
70677,29470968,Division Fractions,1,39910,0,1
70677,32612900,Division Fractions,1,28112,0,1
70679,35033902,Division Fractions,0,7229,1,2
70679,35033916,Division Fractions,1,43910,0,1
70679,35033929,Division Fractions,1,73336,0,1
70679,35033965,Division Fractions,1,10766,0,1
70682,28516361,Division Fractions,1,10953,0,1
70682,33280602,Division Fractions,1,64767,0,1
70684,29243749,Division Fractions,1,46919,0,1
70687,32810047,Division Fractions,1,20548,0,1
70688,28493278,Division Fractions,1,180895,0,1
70688,32510186,Division Fractions,1,40250,0,1
70695,30430054,Division Fractions,1,351282,0,1
70695,32616613,Division Fractions,0,81937,0,3
70695,32616642,Division Fractions,1,121016,0,1
70701,32514180,Division Fractions,0,25391,1,6
70701,32514382,Division Fractions,0,8141,1,2
70701,32514459,Division Fractions,1,11937,0,1
70701,32514485,Division Fractions,1,7578,0,1
70701,32514504,Division Fractions,0,29484,0,2
70701,32514588,Division Fractions,1,29516,0,1
70701,32514648,Division Fractions,1,78094,0,1
70702,28190922,Division Fractions,1,140739,0,1
70702,32507511,Division Fractions,1,15865,0,1
70704,28233422,Division Fractions,0,72592,2,3
70704,28234185,Division Fractions,1,107217,0,1
70704,28234539,Division Fractions,1,68841,0,1
70704,28234878,Division Fractions,1,69559,0,1
70704,34920436,Division Fractions,1,17234,0,1
70706,28236122,Division Fractions,1,15797,0,1
70706,28385311,Division Fractions,1,36406,0,1
70706,28385342,Division Fractions,1,14953,0,1
70707,28189674,Division Fractions,1,15267,0,1
70707,32869008,Division Fractions,1,36840,0,1
70708,29481100,Division Fractions,1,67086,0,1
70708,32524966,Division Fractions,0,21590,0,2
70708,32524983,Division Fractions,0,27456,4,5
70708,32525020,Division Fractions,1,15678,0,1
70708,32525028,Division Fractions,0,18782,4,2
70708,32525045,Division Fractions,1,26629,0,1
70708,32525052,Division Fractions,1,12090,0,1
70708,32525059,Division Fractions,0,21325,0,2
70708,33157969,Division Fractions,1,21684,0,1
70709,32612481,Division Fractions,1,34008,0,1
70727,28449053,Division Fractions,1,27516,0,1
70727,32406725,Division Fractions,0,31043,2,4
70727,32406823,Division Fractions,1,5494,0,1
70727,32406833,Division Fractions,1,27874,0,1
70727,32406873,Division Fractions,1,7039,0,1
70728,32523027,Division Fractions,1,121407,0,1
70729,30052725,Division Fractions,0,26436,5,2
70729,30052772,Division Fractions,0,56615,4,2
70729,30404642,Division Fractions,1,53484,0,1
70729,30404670,Division Fractions,1,54687,0,1
70729,32822799,Division Fractions,0,29485,0,2
70729,32822813,Division Fractions,1,16304,0,1
70729,32822821,Division Fractions,1,7276,0,1
70729,32822837,Division Fractions,0,34671,4,4
70729,32822870,Division Fractions,0,77583,4,3
70729,33533315,Division Fractions,0,52703,5,4
70729,33533357,Division Fractions,1,34927,0,1
70729,33533374,Division Fractions,1,54312,0,1
70729,33533391,Division Fractions,1,43316,0,1
70730,28396047,Division Fractions,1,42703,0,1
70730,32412668,Division Fractions,1,9547,0,1
70731,28395084,Division Fractions,0,29485,5,4
70731,28495989,Division Fractions,1,9453,0,1
70731,28496003,Division Fractions,1,22813,0,1
70731,28496031,Division Fractions,1,15594,0,1
70731,35167023,Division Fractions,1,23625,0,1
70732,33140789,Division Fractions,0,80528,5,4
70733,28390614,Division Fractions,0,51528,0,3
70733,28390657,Division Fractions,1,7452,0,1
70733,28390665,Division Fractions,1,25603,0,1
70733,28390685,Division Fractions,0,27064,1,3
70733,28390701,Division Fractions,1,20230,0,1
70733,28390708,Division Fractions,1,9985,0,1
70733,28390714,Division Fractions,1,14226,0,1
70733,32886142,Division Fractions,1,10126,0,1
70736,32627018,Division Fractions,0,561874,1,2
70736,32627371,Division Fractions,1,118524,0,1
70736,32627438,Division Fractions,1,20971,0,1
70736,32627445,Division Fractions,0,15475,1,3
70736,32627484,Division Fractions,1,3348,0,1
70736,32627491,Division Fractions,1,25926,0,1
70736,32627507,Division Fractions,0,14650,0,2
70736,33164493,Division Fractions,0,28299,5,2
70736,33403731,Division Fractions,1,29776,0,1
70740,31998790,Division Fractions,0,58113,1,1
70740,31998816,Division Fractions,1,42006,0,1
70740,31998834,Division Fractions,1,51632,0,1
70740,31998865,Division Fractions,0,16283,4,2
70740,31998923,Division Fractions,1,11375,0,1
70740,31998938,Division Fractions,1,23639,0,1
70740,31998960,Division Fractions,1,100873,0,1
70744,29528654,Division Fractions,0,46357,4,3
70744,29528744,Division Fractions,1,12462,0,1
70744,29528760,Division Fractions,1,22297,0,1
70744,29528784,Division Fractions,1,13809,0,1
70744,32819107,Division Fractions,1,29116,0,1
70745,31256093,Division Fractions,1,35706,0,1
70745,32245756,Division Fractions,1,14960,0,1
70746,28273270,Division Fractions,0,67391,4,26
70746,28404525,Division Fractions,1,23625,0,1
70746,28404635,Division Fractions,1,5500,0,1
70746,28404651,Division Fractions,1,18062,0,1
70746,32259463,Division Fractions,1,11359,0,1
70748,33153477,Division Fractions,1,31356,0,1
70752,28541344,Division Fractions,1,22950,0,1
70756,31997950,Division Fractions,0,249492,0,2
70758,30106314,Division Fractions,1,173749,0,1
70759,33163896,Division Fractions,0,26827,5,3
70759,33163927,Division Fractions,1,63817,0,1
70816,33991868,Division Fractions,1,27328,0,1
70874,30246252,Division Fractions,1,70107,0,1
70874,33857693,Division Fractions,0,16808,0,2
70874,33857749,Division Fractions,1,13213,0,1
70874,33857840,Division Fractions,1,35739,0,1
70874,33857868,Division Fractions,1,30054,0,1
71740,29774694,Division Fractions,1,34456,0,1
71740,33991398,Division Fractions,0,20378,0,2
71740,33991449,Division Fractions,1,12235,0,1
71740,33991465,Division Fractions,1,8261,0,1
71740,33991490,Division Fractions,1,45015,0,1
71807,28867111,Division Fractions,1,23293,0,1
71807,32516699,Division Fractions,1,32906,0,1
71809,35274672,Division Fractions,0,456516,0,2
71809,35274837,Division Fractions,0,111250,0,1
71810,29404821,Division Fractions,1,80528,0,1
71830,32420132,Division Fractions,1,344097,0,1
71831,35659579,Division Fractions,1,25075,0,1
71872,29470472,Division Fractions,1,18953,0,1
71872,32520035,Division Fractions,0,82625,4,2
71872,32520238,Division Fractions,1,33656,0,1
71872,32520303,Division Fractions,1,13641,0,1
71872,32520339,Division Fractions,1,38500,0,1
71873,32837842,Division Fractions,1,61385,0,1
71877,32504808,Division Fractions,1,43244,0,1
71881,29412732,Division Fractions,0,4001,3,2
71881,29412752,Division Fractions,0,9797,4,1
71881,29412787,Division Fractions,1,42230,0,1
71881,29412799,Division Fractions,1,22199,0,1
71881,29412810,Division Fractions,1,31512,0,1
71881,32418932,Division Fractions,0,80850,5,1
71881,32418997,Division Fractions,0,464041,1,2
71881,32419374,Division Fractions,1,47704,0,1
71881,32419439,Division Fractions,1,27955,0,1
71881,32419452,Division Fractions,1,21429,0,1
71883,30635118,Division Fractions,1,44232,0,1
71883,32519512,Division Fractions,0,62199,4,5
71883,32519686,Division Fractions,0,111842,5,2
71883,32519879,Division Fractions,1,87481,0,1
71883,32520015,Division Fractions,1,45464,0,1
71883,32520071,Division Fractions,1,30491,0,1
71907,29428596,Division Fractions,1,37121,0,1
71907,32814494,Division Fractions,0,22348,0,2
71907,32814536,Division Fractions,1,61660,0,1
71907,32814585,Division Fractions,1,36091,0,1
71907,32814612,Division Fractions,1,48664,0,1
71918,34448648,Division Fractions,0,44125,0,3
71918,34448905,Division Fractions,0,79469,0,2
71918,34449143,Division Fractions,1,27250,0,1
71918,34449179,Division Fractions,0,24906,0,6
71918,34449407,Division Fractions,1,37734,0,1
71918,34449472,Division Fractions,1,36438,0,1
71918,34449540,Division Fractions,1,7203,0,1
72374,21311282,Division Fractions,1,7945,0,1
72720,25644059,Division Fractions,0,29188,5,3
72720,25644339,Division Fractions,0,6359,5,1
72720,25644492,Division Fractions,0,2328,4,1
72720,25644665,Division Fractions,0,8484,5,1
72720,25644836,Division Fractions,0,7906,5,1
72720,25644995,Division Fractions,0,13500,4,1
72720,25645186,Division Fractions,0,13875,4,1
72735,25634852,Division Fractions,1,14729,0,1
73100,32614385,Division Fractions,0,15010,5,3
73289,25634825,Division Fractions,1,220805,0,1
73684,29472251,Division Fractions,1,17604,0,1
73684,32424145,Division Fractions,1,36736,0,1
73685,28525701,Division Fractions,0,129280,4,2
73685,28526193,Division Fractions,1,32422,0,1
73685,28526263,Division Fractions,0,39985,4,2
73685,28526421,Division Fractions,0,296041,5,1
73685,28672783,Division Fractions,1,68141,0,1
73685,29836528,Division Fractions,1,109765,0,1
73685,29836626,Division Fractions,1,14859,0,1
73685,32405760,Division Fractions,1,49950,0,1
73962,28403576,Division Fractions,0,88528,4,5
73962,28404302,Division Fractions,0,223728,1,3
73962,28405178,Division Fractions,0,81406,3,6
73962,28532907,Division Fractions,0,28698,1,3
73962,28532972,Division Fractions,1,21566,0,1
73962,28532986,Division Fractions,1,21107,0,1
73962,28532999,Division Fractions,1,27360,0,1
73962,32264020,Division Fractions,0,27222,1,15
74384,28705775,Division Fractions,1,147000,0,1
74673,28545711,Division Fractions,1,25805,0,1
74673,32265469,Division Fractions,1,41027,0,1
74676,28233227,Division Fractions,1,101543,0,1
74676,33164036,Division Fractions,1,18040,0,1
74678,29408601,Division Fractions,1,11648,0,1
74678,32257792,Division Fractions,0,32285,1,2
74678,32257972,Division Fractions,1,667743,0,1
74678,32258915,Division Fractions,1,93483,0,1
74678,32259134,Division Fractions,1,134365,0,1
74698,31515089,Division Fractions,1,101234,0,1
74698,32414631,Division Fractions,1,69500,0,1
75169,29408332,Division Fractions,1,6282,0,1
75169,32408679,Division Fractions,1,17433,0,1
75361,29399590,Division Fractions,0,7563,4,2
75361,29399635,Division Fractions,1,58297,0,1
75361,29399669,Division Fractions,1,24312,0,1
75361,29399684,Division Fractions,0,45672,5,3
75361,29399731,Division Fractions,1,23344,0,1
75361,29399754,Division Fractions,1,11641,0,1
75361,29399770,Division Fractions,1,8359,0,1
77941,25637270,Division Fractions,0,15297,0,2
77941,25637337,Division Fractions,0,36804,1,10
77942,25635865,Division Fractions,0,43416,3,8
77942,25636112,Division Fractions,1,60204,0,1
77942,25636270,Division Fractions,1,35662,0,1
77942,25636328,Division Fractions,0,60782,5,2
77942,25636663,Division Fractions,1,83743,0,1
77942,25636851,Division Fractions,1,175848,0,1
77942,25637147,Division Fractions,1,48561,0,1
77947,25635896,Division Fractions,1,47079,0,1
77961,25635927,Division Fractions,0,113084,4,1
77961,25636278,Division Fractions,1,79643,0,1
77961,25636420,Division Fractions,0,54366,0,2
77961,25636744,Division Fractions,1,48596,0,1
77961,25636843,Division Fractions,1,57833,0,1
77961,25636928,Division Fractions,1,25915,0,1
78073,21738152,Division Fractions,1,24873,0,1
78073,29981423,Division Fractions,1,25687,0,1
78073,29981493,Division Fractions,1,27219,0,1
78073,29981554,Division Fractions,1,15180,0,1
78073,29981604,Division Fractions,1,11444,0,1
78073,29981632,Division Fractions,1,80201,0,1
78137,21225747,Division Fractions,1,10044,0,1
78137,21225774,Division Fractions,0,15349,0,2
78137,21484190,Division Fractions,1,13509,0,1
78157,21485854,Division Fractions,1,65744,0,1
78157,21485927,Division Fractions,1,9558,0,1
78157,21485934,Division Fractions,0,28279,0,2
78157,21485956,Division Fractions,1,17524,0,1
78157,21485967,Division Fractions,0,9154,0,2
78157,21499626,Division Fractions,1,9604,0,1
78158,21589414,Division Fractions,0,468203,0,10
78160,21382961,Division Fractions,1,63768,0,1
78160,21383073,Division Fractions,1,68832,0,1
78161,21291181,Division Fractions,1,19718,0,1
78163,21274732,Division Fractions,0,65226,5,6
78163,21277156,Division Fractions,0,39040,0,2
78163,21363707,Division Fractions,0,38057,4,3
78163,21363948,Division Fractions,1,17294,0,1
78166,21682050,Division Fractions,1,38186,0,1
78166,21682135,Division Fractions,1,100866,0,1
78167,21682272,Division Fractions,1,49516,0,1
78167,21682408,Division Fractions,0,17346,0,4
78168,21270444,Division Fractions,0,69122,4,7
78168,21273732,Division Fractions,1,34556,0,1
78169,21379544,Division Fractions,0,39679,0,2
78169,21388209,Division Fractions,1,36549,0,1
78169,21388218,Division Fractions,0,48016,4,2
78169,21388300,Division Fractions,0,14110,3,2
78169,21570696,Division Fractions,0,47638,0,5
78169,21694119,Division Fractions,1,13657,0,1
78171,21371864,Division Fractions,1,40969,0,1
78171,21371948,Division Fractions,1,16000,0,1
78173,21267220,Division Fractions,0,92237,0,2
78173,21270244,Division Fractions,1,46404,0,1
78173,21271472,Division Fractions,1,22892,0,1
78174,21301262,Division Fractions,1,657187,0,1
78174,21302376,Division Fractions,1,99188,0,1
78178,21352576,Division Fractions,1,51501,0,1
78178,21352982,Division Fractions,1,67142,0,1
78184,21247884,Division Fractions,1,51015,0,1
78184,21247963,Division Fractions,1,25100,0,1
78184,21247975,Division Fractions,1,67629,0,1
78184,21441354,Division Fractions,1,37164,0,1
78184,21441473,Division Fractions,1,42087,0,1
78184,21441676,Division Fractions,1,41878,0,1
78265,21379542,Division Fractions,1,22473,0,1
78266,21572538,Division Fractions,0,203003,0,2
78266,21681640,Division Fractions,1,234908,0,1
78269,21264075,Division Fractions,1,36451,0,1
78269,21264146,Division Fractions,1,24974,0,1
78269,21264215,Division Fractions,1,7454,0,1
78270,21289987,Division Fractions,1,87406,0,1
78270,21290115,Division Fractions,1,20563,0,1
78272,21371280,Division Fractions,0,69734,0,2
78272,21388127,Division Fractions,1,37891,0,1
78272,21388145,Division Fractions,1,43062,0,1
78272,21388170,Division Fractions,1,102844,0,1
78274,21379835,Division Fractions,0,89200,0,2
78274,21379930,Division Fractions,1,23420,0,1
78275,21681500,Division Fractions,1,59978,0,1
78275,21681671,Division Fractions,1,65850,0,1
78275,21681746,Division Fractions,1,325972,0,1
78275,21682043,Division Fractions,1,238204,0,1
78277,21298676,Division Fractions,0,79014,0,7
78277,21312236,Division Fractions,1,28117,0,1
78278,21301804,Division Fractions,0,37500,3,21
78279,21578342,Division Fractions,1,58015,0,1
78279,21578380,Division Fractions,0,66395,0,4
78280,21301956,Division Fractions,1,383705,0,1
78281,21372373,Division Fractions,1,21956,0,1
78281,21568596,Division Fractions,1,10043,0,1
78281,21568623,Division Fractions,1,13782,0,1
78282,21681832,Division Fractions,1,16042,0,1
